,python,jupyter,pandas,numpy,tensorflow,keras,sklearn,r,rstudio,tidyverse,java,c,c++,c#,fortran,sas,matlab,spss,stata,excel,hadoop,spark,hive,pig,scala,tableau,d3,bi,sql,nosql,mysql,postgresql,sql server,mongo,redis,cassandra,neo4j,html,css,javascript,ruby,php,api,aws,cloud,big data,machine learning,deep learning,ai,nlp,graph,data visual,predictive,model,data mining,simulation,forecast,statistic,math,computer science,economics,engineering,clearance,job,company,location,job title,Link,Employees size,Industry,Revenue,city,state
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4,1,0,0,1,0,0,0,0,0,"https://www.indeed.com/company/Alexis-Networks,-Inc./jobs/Data-Scientist-b3edea23de9a4b3a?fccid=61c108947ff31015&vjs=3","Alexis Networks, Inc.","Newark, NJ 07102",Data Scientist,,,,,Newark,NJ
23,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,5,0,0,0,1,4,11,0,1,8,20,8,0,1,0,https://www.indeed.com/rc/clk?jk=fb57cee2f9026ea5&fccid=e8f18ca6180ec8da&vjs=3,National Security Agency,"Fort Meade, MD",Data Scientist,https://www.indeed.com/cmp/National-Security-Agency/,"10,000+",Government,,Fort Meade,MD
24,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,2,0,https://www.indeed.com/rc/clk?jk=3ce28604a6908bbb&fccid=1639254ea84748b5&vjs=3,Facebook,"Washington, DC","Data Scientist, Analytics",https://www.indeed.com/cmp/Facebook/,"10,000+",Internet and Software,more than $10B (USD),Washington,DC
25,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,https://www.indeed.com/rc/clk?jk=0e93b232b2ef2c93&fccid=b85c5070c3d3d8c8&vjs=3,Capital One - US,"McLean, VA",Data Scientist - Card DS+,https://www.indeed.com/cmp/Capital-One/,"10,000+",Banks and Financial Services,more than $10B (USD),McLean,VA
26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,1,1,0,https://www.indeed.com/rc/clk?jk=79985b80b174ea4c&fccid=a5b4499d9e91a5c6&vjs=3,Google,"Mountain View, CA","Data Scientist, PhD University Graduate, 2020 Start",https://www.indeed.com/cmp/Google/,"10,000+",Internet and Software,more than $10B (USD),Mountain View,CA
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.indeed.com/rc/clk?jk=7078a1a6fe31c230&fccid=a7626cbc3cfa3f9c&vjs=3,ISE Data Systems,"Reston, VA",Data Scientist,,,,,Reston,VA
36,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,https://www.indeed.com/rc/clk?jk=83e3f665b22e5695&fccid=f01127702f08b4dc&vjs=3,Digitalogy,"New York, NY",Data Scientist,,,,,New York,NY
37,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,https://www.indeed.com/rc/clk?jk=a0f54678b0add40e&fccid=370fca9e315e8e8d&vjs=3,"SixGen, Inc.","Hanover, MD 21076",Data Scientist - CI Poly,,,,,Hanover,MD
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,1,1,1,2,0,https://www.indeed.com/rc/clk?jk=90e5ff00c48e6136&fccid=12626f295bf6a003&vjs=3,Logistics Management Institute,"Tysons, VA",Junior Data Scientist,https://www.indeed.com/cmp/Logistics-Management-Institute/,"501 to 1,000",Consulting and Business Services,$100M to $500M (USD),Tysons,VA
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.indeed.com/company/Nolij-Consulting-LLC/jobs/Data-Scientist-a378232d41634dd4?fccid=8cc59ceacb91d67a&vjs=3,Nolij Consulting LLC,"Vienna, VA",Data Scientist,,,,,Vienna,VA
43,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,5,2,1,0,1,1,0,https://www.indeed.com/rc/clk?jk=4c8a627f1ee36a8f&fccid=c1099851e9794854&vjs=3,,,Data Scientist / Statistician / Economist,,,,,,
44,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,5,2,1,0,1,1,0,https://www.indeed.com/rc/clk?jk=4c8a627f1ee36a8f&fccid=c1099851e9794854&vjs=3,,,Data Scientist / Statistician / Economist,https://www.indeed.com/cmp/Apple/,"10,000+",Computers and Electronics,more than $10B (USD),,
